,customer_id,recency,frequency,monetary
73,CS1185,2015-03-05,27,1801
74,CS1186,2015-01-23,19,1439
75,CS1187,2015-02-22,22,1559
76,CS1188,2015-03-12,16,1010
77,CS1189,2015-01-12,23,1564
78,CS1190,2015-02-04,18,1324
79,CS1191,2015-01-09,21,1522
80,CS1192,2015-02-06,18,1313
81,CS1193,2014-06-06,15,953
82,CS1194,2015-03-07,22,1505
83,CS1195,2015-02-24,20,1378
84,CS1196,2015-03-15,23,1559
85,CS1197,2014-10-06,17,1180
86,CS1198,2015-03-05,22,1571
87,CS1199,2014-11-12,20,1344
88,CS1200,2014-09-27,21,1667
89,CS1201,2015-01-23,19,1375
90,CS1202,2015-01-21,20,1331
91,CS1203,2015-01-27,21,1536
92,CS1204,2015-01-28,17,1023
93,CS1205,2015-03-13,17,1103
94,CS1206,2014-10-10,24,1514
95,CS1207,2015-02-05,18,1310
96,CS1208,2015-02-09,15,1000
97,CS1209,2015-03-14,27,1809
98,CS1210,2014-12-08,21,1546
99,CS1211,2015-01-18,18,1218
100,CS1212,2014-10-09,17,1200
101,CS1213,2014-11-09,18,1191
102,CS1214,2015-03-09,19,1289
103,CS1215,2014-11-03,35,2362
104,CS1216,2014-10-28,24,1798
105,CS1217,2014-12-29,20,1431
106,CS1218,2015-02-07,24,1687
107,CS1219,2015-03-12,21,1447
108,CS1220,2015-02-24,9,720
109,CS1221,2014-10-04,19,1372
110,CS1222,2015-01-30,21,1585
111,CS1223,2015-01-22,17,1299
112,CS1224,2014-11-21,8,578
113,CS1225,2015-01-28,17,999
114,CS1226,2015-01-21,18,1213
115,CS1227,2015-02-19,27,1783
116,CS1228,2015-01-29,19,1368
117,CS1229,2015-02-17,19,1194
118,CS1230,2015-03-11,20,1415
119,CS1231,2014-10-13,23,1750
120,CS1232,2014-12-11,20,1452
121,CS1233,2014-11-21,21,1374
122,CS1234,2015-03-12,21,1349
123,CS1235,2014-10-26,22,1507
124,CS1236,2015-02-02,22,1668
125,CS1237,2014-08-28,24,1823
126,CS1238,2015-02-24,26,1808
127,CS1239,2014-07-07,11,771
128,CS1240,2015-03-13,30,2126
129,CS1241,2015-02-16,27,1818
130,CS1242,2015-01-16,13,943
131,CS1243,2015-02-06,17,1087
132,CS1244,2014-10-26,21,1492
133,CS1245,2015-01-03,19,1321
134,CS1246,2014-05-25,20,1431
135,CS1247,2015-02-16,28,1773
136,CS1248,2015-03-07,17,1172
137,CS1249,2014-12-17,23,1846
138,CS1250,2015-03-04,24,1625
139,CS1251,2015-03-14,14,1035
140,CS1252,2014-11-29,18,1411
141,CS1253,2015-01-01,17,1399
142,CS1254,2015-03-13,21,1599
143,CS1255,2015-01-08,29,1998
144,CS1256,2014-08-15,19,1304
145,CS1257,2015-02-19,15,1050
146,CS1258,2015-02-19,22,1458
147,CS1259,2014-09-29,22,1679
148,CS1260,2014-10-21,26,1941
149,CS1261,2014-12-19,26,1943
150,CS1262,2014-12-22,16,1040
151,CS1263,2015-03-13,14,1096
152,CS1264,2015-03-13,12,959
153,CS1265,2015-01-24,14,1128
154,CS1266,2015-02-05,15,1076
155,CS1267,2014-11-26,26,1812
156,CS1268,2015-01-10,27,1946
157,CS1269,2015-01-07,19,1272
158,CS1270,2015-02-17,27,1990
159,CS1271,2015-02-09,25,1683
160,CS1272,2015-02-27,19,1279
161,CS1273,2015-02-17,25,1800
162,CS1274,2015-03-11,20,1381
163,CS1275,2015-03-16,18,1321
164,CS1276,2015-02-17,21,1505
165,CS1277,2014-12-18,17,1142
166,CS1278,2014-11-27,22,1572
167,CS1279,2015-01-28,21,1411
168,CS1280,2015-03-03,21,1262
169,CS1281,2015-03-04,23,1715
170,CS1282,2014-11-04,15,1014
171,CS1283,2015-02-25,22,1683
172,CS1284,2015-03-11,24,1836
173,CS1285,2015-02-19,24,1778
174,CS1286,2015-01-07,21,1511
175,CS1287,2014-09-07,20,1440
176,CS1288,2014-07-08,17,1125
177,CS1289,2015-03-13,19,1355
178,CS1290,2014-12-10,20,1625
179,CS1291,2015-03-16,15,1006
180,CS1292,2015-02-23,18,1307
181,CS1293,2015-01-01,21,1625
182,CS1294,2015-02-10,30,2129
183,CS1295,2015-03-13,22,1487
184,CS1296,2015-03-04,21,1505
185,CS1297,2015-01-11,12,765
186,CS1298,2015-01-31,21,1561
187,CS1299,2014-12-06,21,1552
188,CS1300,2015-03-09,18,1309
189,CS1301,2015-02-19,19,1250
190,CS1302,2015-02-14,19,1278
191,CS1303,2015-02-02,22,1634
192,CS1304,2014-12-27,15,874
193,CS1305,2014-12-01,16,1031
194,CS1306,2015-03-12,15,1153
195,CS1307,2015-01-02,18,1220
196,CS1308,2015-02-26,21,1487
197,CS1309,2015-01-11,12,761
198,CS1310,2014-11-16,15,1103
199,CS1311,2015-02-10,18,1129
200,CS1312,2015-02-26,16,1353
201,CS1313,2015-03-05,29,2072
202,CS1314,2013-10-13,13,891
203,CS1315,2015-01-01,15,1030
204,CS1316,2015-02-15,26,1726
205,CS1317,2015-02-26,16,1146
206,CS1318,2015-02-28,22,1693
207,CS1319,2014-12-18,18,1161
208,CS1320,2015-03-04,18,1382
209,CS1321,2015-03-16,21,1668
210,CS1322,2015-03-11,26,1964
211,CS1323,2014-11-11,23,1595
212,CS1324,2014-08-20,24,1611
213,CS1325,2014-08-25,18,1209
214,CS1326,2015-02-20,27,1940
215,CS1327,2015-03-02,23,1525
216,CS1328,2014-08-10,15,1043
217,CS1329,2014-11-14,17,1158
218,CS1330,2015-02-17,23,1750
219,CS1331,2015-03-06,15,1170
220,CS1332,2014-11-06,29,2010
221,CS1333,2015-01-29,8,625
222,CS1334,2014-12-27,25,1781
223,CS1335,2014-11-15,17,1157
224,CS1336,2014-11-28,24,1696
225,CS1337,2015-02-08,22,1668
226,CS1338,2015-02-25,18,1436
227,CS1339,2015-01-16,23,1680
228,CS1340,2014-11-10,20,1506
229,CS1341,2015-01-07,13,1038
230,CS1342,2015-03-15,16,1326
231,CS1343,2015-01-08,21,1489
232,CS1344,2015-02-20,25,1638
233,CS1345,2014-12-06,18,1193
234,CS1346,2014-09-30,15,1072
235,CS1347,2015-03-12,30,2000
236,CS1348,2015-01-17,22,1583
237,CS1349,2015-02-28,16,1086
238,CS1350,2015-02-12,27,1996
239,CS1351,2014-11-14,21,1505
240,CS1352,2015-02-04,20,1424
241,CS1353,2014-08-23,19,1408
242,CS1354,2014-02-02,16,1324
243,CS1355,2015-01-27,23,1507
244,CS1356,2014-12-26,24,1740
245,CS1357,2014-10-14,26,1775
246,CS1358,2015-03-05,19,1408
247,CS1359,2015-02-24,16,1145
248,CS1360,2015-02-02,18,1282
249,CS1361,2015-02-27,19,1470
250,CS1362,2015-03-10,23,1703
251,CS1363,2014-08-27,24,1632
252,CS1364,2015-01-09,27,1864
253,CS1365,2015-02-27,19,1225
254,CS1366,2015-02-17,22,1493
255,CS1367,2015-01-08,29,2146
256,CS1368,2015-03-12,15,960
257,CS1369,2015-01-29,25,1746
258,CS1370,2014-10-26,26,1864
259,CS1371,2014-10-08,22,1496
260,CS1372,2014-06-11,19,1412
261,CS1373,2014-12-21,30,1967
262,CS1374,2014-10-03,19,1357
263,CS1375,2014-11-09,17,1165
264,CS1376,2015-02-10,25,1512
265,CS1377,2014-10-24,18,1505
266,CS1378,2015-02-19,25,1671
267,CS1379,2014-10-31,15,1134
268,CS1380,2015-02-28,26,1857
269,CS1381,2014-02-20,22,1449
270,CS1382,2015-03-12,25,1845
271,CS1383,2014-11-21,25,1878
272,CS1384,2015-03-04,17,964
273,CS1385,2015-03-11,22,1478
274,CS1386,2015-01-04,14,998
275,CS1387,2014-11-09,18,1238
276,CS1388,2015-02-14,19,1275
277,CS1389,2015-02-25,18,1189
278,CS1390,2015-01-31,19,1210
279,CS1391,2015-03-12,25,1584
280,CS1392,2015-01-01,17,1227
281,CS1393,2014-12-07,19,1437
282,CS1394,2015-03-11,28,2046
283,CS1395,2015-03-02,22,1704
284,CS1396,2015-02-13,25,1852
285,CS1397,2014-10-01,30,2156
286,CS1398,2015-02-15,20,1354
287,CS1399,2015-02-21,26,1832
288,CS1400,2014-12-30,18,1193
289,CS1401,2015-03-02,30,2023
290,CS1402,2015-02-14,22,1660
291,CS1403,2015-02-01,22,1652
292,CS1404,2015-01-25,28,1900
293,CS1405,2015-02-25,26,1943
294,CS1406,2015-03-02,27,1842
295,CS1407,2015-03-03,28,1916
296,CS1408,2014-07-18,17,1214
297,CS1409,2014-12-20,24,1464
298,CS1410,2015-01-16,15,1160
299,CS1411,2015-01-19,17,1222
300,CS1412,2015-03-01,22,1599
301,CS1413,2015-01-16,19,1396
302,CS1414,2014-10-14,20,1437
303,CS1415,2015-01-01,27,1752
304,CS1416,2015-03-04,20,1513
305,CS1417,2015-01-25,15,1076
306,CS1418,2014-10-17,14,1053
307,CS1419,2015-03-16,27,1915
308,CS1420,2014-12-25,25,1923
309,CS1421,2015-01-16,27,1896
310,CS1422,2015-03-11,15,1211
311,CS1423,2015-01-20,20,1182
312,CS1424,2015-03-06,24,1753
313,CS1425,2015-01-04,23,1688
314,CS1426,2015-02-23,21,1538
315,CS1427,2015-03-09,15,985
316,CS1428,2014-12-21,25,1948
317,CS1429,2014-11-04,18,1261
318,CS1430,2015-03-03,21,1440
319,CS1431,2015-03-04,18,1257
320,CS1432,2015-03-13,19,1362
321,CS1433,2015-02-05,20,1468
322,CS1434,2015-03-05,27,1758
323,CS1435,2015-01-29,25,1700
324,CS1436,2015-01-16,14,977
325,CS1437,2015-02-16,12,880
326,CS1438,2015-02-08,20,1374
327,CS1439,2015-02-10,16,1160
328,CS1440,2014-12-05,22,1577
329,CS1441,2015-01-07,20,1351
330,CS1442,2015-03-08,20,1225
331,CS1443,2015-01-22,24,1876
332,CS1444,2015-02-09,23,1756
333,CS1445,2015-03-14,23,1526
334,CS1446,2015-03-03,15,991
335,CS1447,2015-03-11,14,1001
336,CS1448,2015-02-05,16,1239
337,CS1449,2015-03-14,20,1402
338,CS1450,2015-02-20,20,1251
339,CS1451,2015-02-24,22,1715
340,CS1452,2014-11-28,15,941
341,CS1453,2014-11-04,22,1640
342,CS1454,2015-02-24,17,1126
343,CS1455,2015-03-14,18,1301
344,CS1456,2014-08-24,20,1363
345,CS1457,2014-12-15,15,929
346,CS1458,2015-03-11,20,1422
347,CS1459,2014-11-12,24,1627
348,CS1460,2015-02-03,18,1185
349,CS1461,2015-02-17,23,1567
350,CS1462,2015-01-27,24,1616
351,CS1463,2014-11-08,27,1807
352,CS1464,2014-07-23,21,1613
353,CS1465,2015-03-14,22,1631
354,CS1466,2015-02-22,17,1190
355,CS1467,2014-08-10,18,1233
356,CS1468,2015-03-07,21,1412
357,CS1469,2015-03-07,19,1387
358,CS1470,2015-01-23,22,1649
359,CS1471,2015-03-12,20,1325
360,CS1472,2015-03-08,19,1241
361,CS1473,2015-03-13,25,1695
362,CS1474,2014-12-17,21,1487
363,CS1475,2015-01-20,18,1197
364,CS1476,2014-12-29,20,1430
365,CS1477,2015-03-03,18,1185
366,CS1478,2014-12-16,19,1300
367,CS1479,2015-01-18,20,1567
368,CS1480,2014-12-24,17,1251
369,CS1481,2013-12-23,13,876
370,CS1482,2015-02-08,12,732
371,CS1483,2015-01-01,24,1774
372,CS1484,2014-12-07,16,1221
373,CS1485,2015-02-22,25,1814
374,CS1486,2015-01-27,19,1377
375,CS1487,2015-02-16,10,599
376,CS1488,2015-03-03,23,1595
377,CS1489,2015-02-11,15,950
378,CS1490,2015-02-21,25,1788
379,CS1491,2014-12-19,17,1244
380,CS1492,2015-02-07,19,1358
381,CS1493,2015-03-11,21,1531
382,CS1494,2014-11-18,21,1502
383,CS1495,2015-02-26,17,1138
384,CS1496,2015-02-21,18,1222
385,CS1497,2015-03-09,20,1445
386,CS1498,2015-01-19,22,1519
387,CS1499,2015-01-30,26,1879
388,CS1500,2014-10-03,15,983
389,CS1501,2015-02-09,26,1965
390,CS1502,2015-03-11,22,1613
391,CS1503,2015-03-15,27,1927
392,CS1504,2015-01-31,13,825
393,CS1505,2015-01-23,25,1703
394,CS1506,2014-12-30,18,1307
395,CS1507,2015-02-25,21,1280
396,CS1508,2015-03-02,28,1933
397,CS1509,2014-10-21,20,1383
398,CS1510,2015-03-13,26,1792
399,CS1511,2015-01-25,18,1253
400,CS1512,2015-02-21,20,1239
401,CS1513,2014-11-30,22,1444
402,CS1514,2014-10-06,16,1046
403,CS1515,2015-03-02,22,1742
404,CS1516,2014-12-05,18,1308
405,CS1517,2014-12-21,18,1168
406,CS1518,2014-11-12,19,1151
407,CS1519,2015-03-05,15,962
408,CS1520,2015-03-13,18,1162
409,CS1521,2014-09-03,9,671
410,CS1522,2014-12-10,14,894
411,CS1523,2014-08-13,15,928
412,CS1524,2014-11-06,17,1075
413,CS1525,2015-02-17,17,1215
414,CS1526,2015-02-13,19,1324
415,CS1527,2015-03-03,19,1187
416,CS1528,2015-03-13,24,1660
417,CS1529,2015-03-07,25,1823
418,CS1530,2014-07-08,10,626
419,CS1531,2015-02-09,25,1793
420,CS1532,2014-06-06,17,1140
421,CS1533,2015-02-01,23,1606
422,CS1534,2015-01-07,20,1379
423,CS1535,2014-12-23,24,1904
424,CS1536,2015-02-09,12,753
425,CS1537,2015-03-11,20,1323
426,CS1538,2015-03-14,19,1304
427,CS1539,2015-02-19,20,1371
428,CS1540,2015-02-06,19,1199
429,CS1541,2014-10-26,30,2273
430,CS1542,2014-09-27,27,1808
431,CS1543,2015-03-15,12,948
432,CS1544,2015-01-22,19,1334
433,CS1545,2015-02-23,28,1935
434,CS1546,2014-08-29,18,1436
435,CS1547,2015-02-19,22,1600
436,CS1548,2015-02-27,23,1755
437,CS1549,2015-02-19,20,1393
438,CS1550,2015-01-25,22,1583
439,CS1551,2014-12-05,18,1300
440,CS1552,2015-02-14,22,1604
441,CS1553,2014-09-10,20,1444
442,CS1554,2014-10-26,17,993
443,CS1555,2015-01-13,23,1571
444,CS1556,2015-02-22,13,1031
445,CS1557,2015-02-03,30,1992
446,CS1558,2015-02-25,23,1500
447,CS1559,2015-03-10,20,1613
448,CS1560,2015-01-26,18,1352
449,CS1561,2015-03-15,15,1082
450,CS1562,2014-03-03,12,711
451,CS1563,2014-02-05,17,1108
452,CS1564,2015-02-26,16,1304
453,CS1565,2014-11-16,17,1147
454,CS1566,2014-09-07,21,1491
455,CS1567,2015-02-23,19,1465
456,CS1568,2015-02-11,20,1604
457,CS1569,2015-02-19,15,1074
458,CS1570,2014-12-04,25,1782
459,CS1571,2015-02-13,20,1503
460,CS1572,2015-02-10,15,1085
461,CS1573,2015-02-01,19,1539
462,CS1574,2015-03-09,18,1018
463,CS1575,2015-01-29,26,1611
464,CS1576,2014-12-13,16,1074
465,CS1577,2015-02-25,21,1525
466,CS1578,2014-12-18,16,1125
467,CS1579,2015-02-18,20,1433
468,CS1580,2014-09-07,33,2329
469,CS1581,2015-02-07,23,1501
470,CS1582,2015-02-26,27,2009
471,CS1583,2015-02-15,25,1919
472,CS1584,2015-03-02,21,1512
473,CS1585,2014-12-13,19,1167
474,CS1586,2015-01-02,20,1441
475,CS1587,2015-02-07,27,1900
476,CS1588,2015-03-07,25,1591
477,CS1589,2015-03-01,15,1151
478,CS1590,2014-10-13,16,964
479,CS1591,2014-10-13,18,1144
480,CS1592,2015-02-10,19,1215
481,CS1593,2015-02-20,20,1406
482,CS1594,2015-02-21,13,901
483,CS1595,2014-11-30,10,648
484,CS1596,2015-02-26,19,1342
485,CS1597,2015-01-09,23,1611
486,CS1598,2015-02-05,20,1289
487,CS1599,2015-01-18,15,1028
488,CS1600,2015-02-25,20,1331
489,CS1601,2014-12-27,27,1787
490,CS1602,2015-02-18,20,1401
491,CS1603,2014-11-11,19,1374
492,CS1604,2015-03-01,28,1950
493,CS1605,2015-02-28,27,1685
494,CS1606,2015-03-14,13,781
495,CS1607,2015-01-14,19,1384
496,CS1608,2015-01-26,14,973
497,CS1609,2014-10-30,20,1375
498,CS1610,2015-02-12,19,1326
499,CS1611,2014-07-01,23,1794
500,CS1612,2015-02-25,26,1759
501,CS1613,2014-11-09,21,1347
502,CS1614,2015-03-06,22,1568
503,CS1615,2015-03-13,20,1419
504,CS1616,2015-03-06,19,1434
505,CS1617,2014-12-02,27,1784
506,CS1618,2014-09-22,13,887
507,CS1619,2015-03-05,21,1323
508,CS1620,2014-05-20,16,1320
509,CS1621,2015-02-23,26,1894
510,CS1622,2015-03-16,20,1360
511,CS1623,2015-02-28,26,1777
512,CS1624,2015-02-05,25,1832
513,CS1625,2015-03-11,14,950
514,CS1626,2015-01-14,17,1172
515,CS1627,2014-12-29,16,1043
516,CS1628,2015-02-23,21,1456
517,CS1629,2015-03-13,22,1394
518,CS1630,2015-03-15,20,1393
519,CS1631,2015-02-03,18,1223
520,CS1632,2015-03-08,17,1187
521,CS1633,2015-02-26,26,1763
522,CS1634,2015-03-02,15,1044
523,CS1635,2014-12-10,23,1573
524,CS1636,2015-01-07,19,1347
525,CS1637,2015-02-22,22,1496
526,CS1638,2014-07-29,15,1035
527,CS1639,2015-03-04,23,1619
528,CS1640,2015-01-15,19,1232
529,CS1641,2015-03-08,17,1232
530,CS1642,2015-02-10,24,1672
531,CS1643,2015-02-22,27,2087
532,CS1644,2014-12-31,22,1542
533,CS1645,2014-07-16,19,1412
534,CS1646,2015-02-17,17,1185
535,CS1647,2015-02-28,21,1401
536,CS1648,2014-11-20,24,1776
537,CS1649,2015-01-27,16,1197
538,CS1650,2014-11-23,24,1832
539,CS1651,2014-12-02,13,927
540,CS1652,2015-03-15,26,1726
541,CS1653,2014-11-19,26,1986
542,CS1654,2014-12-16,19,1384
543,CS1655,2015-02-16,14,955
544,CS1656,2015-01-24,14,966
545,CS1657,2014-11-11,18,1105
546,CS1658,2015-02-15,20,1389
547,CS1659,2015-02-01,19,1311
548,CS1660,2015-02-24,24,1745
549,CS1661,2015-02-17,32,2051
550,CS1662,2015-02-22,17,1033
551,CS1663,2014-12-10,23,1487
552,CS1664,2015-03-03,25,1954
553,CS1665,2014-10-12,16,1033
554,CS1666,2015-01-25,18,1385
555,CS1667,2015-01-02,20,1313
556,CS1668,2015-01-26,17,1227
557,CS1669,2015-03-01,15,1105
558,CS1670,2014-12-25,16,1191
559,CS1671,2014-12-22,17,1246
560,CS1672,2014-11-05,15,1110
561,CS1673,2015-01-21,26,1784
562,CS1674,2015-01-21,17,1088
563,CS1675,2015-02-06,28,2124
564,CS1676,2015-01-09,28,2088
565,CS1677,2015-01-11,21,1439
566,CS1678,2014-12-31,18,1230
567,CS1679,2015-03-09,28,1976
568,CS1680,2015-01-27,18,1151
569,CS1681,2014-11-23,21,1467
570,CS1682,2014-11-10,15,1075
571,CS1683,2015-03-02,17,1245
572,CS1684,2015-01-07,18,1241
573,CS1685,2014-08-13,22,1569
574,CS1686,2015-01-08,24,1647
575,CS1687,2015-02-20,22,1656
576,CS1688,2014-11-05,17,1167
577,CS1689,2015-01-01,16,993
578,CS1690,2015-02-21,19,1354
579,CS1691,2015-01-02,20,1523
580,CS1692,2015-03-15,23,1592
581,CS1693,2015-03-01,12,908
582,CS1694,2015-01-10,22,1330
583,CS1695,2014-12-13,32,2174
584,CS1696,2014-11-07,19,1325
585,CS1697,2014-11-29,15,1082
586,CS1698,2015-03-11,19,1397
587,CS1699,2015-02-28,18,1261
588,CS1700,2014-07-12,17,1186
589,CS1701,2014-09-19,18,1190
590,CS1702,2015-02-18,17,1028
591,CS1703,2015-01-06,15,890
592,CS1704,2015-02-26,22,1484
593,CS1705,2014-12-28,21,1553
594,CS1706,2015-02-14,23,1681
595,CS1707,2015-02-03,22,1627
596,CS1708,2015-02-04,25,1790
597,CS1709,2014-10-08,23,1629
598,CS1710,2014-06-24,22,1577
599,CS1711,2014-12-21,23,1548
600,CS1712,2014-11-16,21,1411
601,CS1713,2015-03-07,19,1495
602,CS1714,2015-03-16,16,1248
603,CS1715,2015-01-28,20,1314
604,CS1716,2014-03-29,6,440
605,CS1717,2015-01-26,14,963
606,CS1718,2014-12-29,18,1284
607,CS1719,2015-02-09,17,1166
608,CS1720,2015-03-16,17,1104
609,CS1721,2015-02-24,24,1687
610,CS1722,2015-03-02,19,1320
611,CS1723,2015-02-09,17,1146
612,CS1724,2015-02-15,18,1223
613,CS1725,2015-01-16,27,1778
614,CS1726,2015-02-17,23,1529
615,CS1727,2015-03-05,25,1702
616,CS1728,2014-11-30,26,1896
617,CS1729,2015-03-03,24,1567
618,CS1730,2014-11-05,19,1260
619,CS1731,2015-03-02,17,1145
620,CS1732,2015-02-19,18,1353
621,CS1733,2014-11-06,20,1506
622,CS1734,2014-09-07,18,1235
623,CS1735,2015-03-03,14,952
624,CS1736,2014-12-23,24,1653
625,CS1737,2014-12-16,23,1737
626,CS1738,2015-02-09,20,1337
627,CS1739,2015-01-27,17,1199
628,CS1740,2015-02-05,25,1902
629,CS1741,2014-10-20,19,1264
630,CS1742,2015-01-05,19,1326
631,CS1743,2014-09-29,17,1405
632,CS1744,2015-03-03,14,1066
633,CS1745,2015-02-20,22,1615
634,CS1746,2014-06-15,26,1878
635,CS1747,2015-03-12,17,1099
636,CS1748,2015-03-14,22,1498
637,CS1749,2015-02-27,17,1174
638,CS1750,2015-03-04,22,1543
639,CS1751,2015-01-26,23,1504
640,CS1752,2015-02-27,22,1656
641,CS1753,2014-12-20,18,1180
642,CS1754,2014-12-28,17,1177
643,CS1755,2014-12-20,17,1164
644,CS1756,2014-07-24,18,1176
645,CS1757,2014-12-26,31,2238
646,CS1758,2015-01-10,20,1337
647,CS1759,2014-11-29,24,1654
648,CS1760,2015-01-13,21,1570
649,CS1761,2015-03-15,16,1144
650,CS1762,2014-12-14,14,1027
651,CS1763,2015-02-16,24,1689
652,CS1764,2015-02-09,15,1085
653,CS1765,2014-12-22,14,1079
654,CS1766,2014-11-16,19,1067
655,CS1767,2015-02-12,26,1674
656,CS1768,2014-12-11,25,1794
657,CS1769,2014-09-17,20,1356
658,CS1770,2015-03-10,25,1734
659,CS1771,2015-03-04,19,1337
660,CS1772,2015-01-22,18,1348
661,CS1773,2014-12-20,22,1442
662,CS1774,2015-03-12,25,1756
663,CS1775,2015-01-22,13,848
664,CS1776,2015-01-17,25,1782
665,CS1777,2014-12-27,14,1044
666,CS1778,2015-02-13,19,1368
667,CS1779,2015-03-02,16,1086
668,CS1780,2015-03-07,19,1265
669,CS1781,2014-09-08,29,2131
670,CS1782,2014-12-30,17,1174
671,CS1783,2014-12-08,17,1210
672,CS1784,2014-11-17,15,993
673,CS1785,2015-02-26,29,2103
674,CS1786,2015-02-09,31,2218
675,CS1787,2015-03-05,22,1443
676,CS1788,2014-10-13,24,1548
677,CS1789,2015-03-01,16,1192
678,CS1790,2014-09-17,18,1241
679,CS1791,2015-03-16,21,1607
680,CS1792,2015-01-03,17,1179
681,CS1793,2015-02-28,17,1035
682,CS1794,2015-03-16,24,1764
683,CS1795,2014-11-06,17,1331
684,CS1796,2015-01-31,20,1462
685,CS1797,2015-01-25,23,1393
686,CS1798,2014-12-07,27,1826
687,CS1799,2015-02-03,14,966
688,CS1800,2015-03-14,16,1053
689,CS1801,2014-11-24,15,994
690,CS1802,2015-03-06,27,1913
691,CS1803,2014-11-09,21,1562
692,CS1804,2015-02-05,19,1247
693,CS1805,2015-02-20,31,2076
694,CS1806,2015-01-30,15,1025
695,CS1807,2015-01-24,26,1732
696,CS1808,2014-12-16,14,851
697,CS1809,2015-02-16,21,1500
698,CS1810,2015-02-02,16,1165
699,CS1811,2015-02-28,18,1425
700,CS1812,2015-03-11,27,1783
701,CS1813,2014-11-21,25,1757
702,CS1814,2014-10-30,21,1462
703,CS1815,2015-02-05,14,959
704,CS1816,2015-02-09,22,1723
705,CS1817,2015-02-26,18,1315
706,CS1818,2015-02-25,22,1674
707,CS1819,2015-02-07,26,1867
708,CS1820,2015-01-31,25,1898
709,CS1821,2014-08-01,20,1418
710,CS1822,2015-02-16,13,921
711,CS1823,2015-02-04,16,1198
712,CS1824,2015-03-08,17,1271
713,CS1825,2015-03-03,23,1734
714,CS1826,2015-01-03,15,1072
715,CS1827,2015-03-04,24,1680
716,CS1828,2015-01-26,16,1154
717,CS1829,2015-02-26,19,1454
718,CS1830,2014-12-08,17,1175
719,CS1831,2015-03-02,26,1759
720,CS1832,2014-12-03,25,1796
721,CS1833,2015-01-08,18,1139
722,CS1834,2014-01-05,13,787
723,CS1835,2015-02-03,19,1389
724,CS1836,2014-06-26,26,1905
725,CS1837,2015-02-02,19,1469
726,CS1838,2015-03-06,21,1409
727,CS1839,2014-10-03,16,1123
728,CS1840,2015-02-04,19,1183
729,CS1841,2015-03-03,17,1110
730,CS1842,2015-03-13,21,1568
731,CS1843,2015-03-14,20,1432
732,CS1844,2015-02-26,22,1452
733,CS1845,2014-07-20,13,938
734,CS1846,2014-12-20,26,1812
735,CS1847,2015-01-25,22,1576
736,CS1848,2014-12-26,17,1279
737,CS1849,2015-03-07,11,716
