,customer_id,trans_date,tran_amount,response
86,CS3668,2014-08-14,102,0
87,CS4623,2013-09-27,89,1
88,CS4708,2013-07-02,48,0
89,CS1816,2013-09-22,64,0
90,CS5376,2013-12-08,44,0
91,CS4568,2011-11-15,70,0
92,CS1779,2012-01-27,53,0
93,CS2447,2011-07-10,82,0
94,CS1985,2011-08-16,87,0
95,CS2544,2011-11-07,64,0
96,CS2158,2012-09-11,89,0
97,CS5776,2014-09-09,87,0
98,CS5653,2013-09-04,98,0
99,CS2291,2014-10-15,67,0
100,CS6088,2012-10-29,48,0
101,CS4245,2014-06-02,102,0
102,CS3344,2014-07-02,56,0
103,CS1481,2013-12-23,50,0
104,CS5400,2011-12-23,56,0
105,CS5463,2014-08-27,91,0
106,CS5951,2014-08-07,104,1
107,CS5515,2012-02-19,41,0
108,CS3039,2012-05-01,92,0
109,CS1836,2012-03-24,63,0
110,CS4320,2014-04-09,52,1
111,CS4889,2011-12-01,38,0
112,CS1319,2011-09-26,95,0
113,CS4859,2015-01-07,50,1
114,CS4148,2014-02-08,40,0
115,CS5264,2013-04-03,81,0
116,CS4041,2014-12-29,49,0
117,CS2183,2013-01-04,39,0
118,CS2516,2015-02-15,55,0
119,CS1890,2012-11-03,37,0
120,CS3730,2013-02-11,89,1
121,CS5382,2013-03-07,48,1
122,CS5970,2014-06-13,40,0
123,CS5260,2015-01-30,46,1
124,CS2437,2011-11-13,90,0
125,CS4675,2011-09-11,67,0
126,CS2920,2011-10-11,87,0
127,CS2548,2013-09-28,73,1
128,CS1818,2011-12-26,46,0
129,CS6098,2012-09-28,42,1
130,CS2712,2011-12-26,65,0
131,CS2714,2011-12-14,69,0
132,CS2615,2013-08-17,39,0
133,CS5445,2014-07-27,72,0
134,CS5812,2014-11-02,62,0
135,CS4636,2013-09-22,66,0
136,CS3147,2014-06-04,84,1
137,CS1273,2012-02-01,91,0
138,CS4243,2011-11-11,48,0
139,CS2357,2012-04-13,71,0
140,CS1776,2014-05-03,79,0
141,CS5643,2013-03-02,104,0
142,CS4522,2015-03-06,82,0
143,CS2418,2015-02-01,51,0
144,CS1330,2014-11-21,41,0
145,CS1195,2014-12-29,83,0
146,CS4306,2015-03-07,54,0
147,CS2137,2013-09-29,73,0
148,CS3518,2013-06-19,54,0
149,CS5835,2011-09-18,52,1
150,CS4701,2015-01-15,95,0
151,CS4548,2012-06-28,38,0
152,CS2384,2012-10-15,35,0
153,CS4081,2013-02-17,74,0
154,CS5976,2012-01-02,99,0
155,CS3874,2011-09-08,44,0
156,CS5356,2014-06-17,105,1
157,CS4667,2014-09-17,66,0
158,CS4328,2012-06-04,56,0
159,CS3291,2013-08-02,42,0
160,CS4282,2011-09-11,44,0
161,CS4331,2011-09-25,70,0
162,CS1243,2013-03-17,36,0
163,CS2390,2014-05-20,104,0
164,CS2207,2014-04-05,71,0
165,CS1270,2011-11-18,104,0
166,CS1219,2014-11-11,91,0
167,CS5427,2012-11-13,96,1
168,CS5474,2011-05-18,69,0
169,CS5109,2012-05-23,92,0
170,CS5287,2015-03-14,94,0
171,CS3477,2013-05-05,80,0
172,CS3970,2011-12-13,86,0
173,CS5760,2011-12-08,59,0
174,CS2149,2013-04-04,83,0
175,CS4934,2014-07-19,80,1
176,CS1517,2013-10-18,89,0
177,CS1641,2012-12-29,64,0
178,CS2187,2011-11-19,70,0
179,CS5359,2014-08-12,96,0
180,CS3124,2011-12-08,71,0
181,CS1721,2012-08-30,96,0
182,CS5212,2015-01-22,42,0
183,CS5111,2011-08-23,81,1
184,CS3137,2012-04-04,67,0
185,CS1511,2015-01-25,69,0
186,CS2509,2014-02-23,92,0
187,CS5994,2014-01-11,42,0
188,CS2613,2013-08-25,103,0
189,CS1934,2014-08-18,89,0
190,CS3127,2011-10-02,39,0
191,CS5225,2014-03-18,104,1
192,CS1815,2012-11-17,83,0
193,CS3552,2014-04-27,102,0
194,CS1893,2013-11-17,42,0
195,CS3621,2013-10-26,56,0
196,CS4330,2013-07-17,59,0
197,CS4991,2013-07-20,90,0
198,CS2312,2013-10-22,37,0
199,CS2359,2012-06-04,90,1
200,CS4798,2012-12-06,84,1
201,CS2507,2012-06-28,94,0
202,CS1430,2014-09-02,71,0
203,CS3787,2013-10-23,48,0
204,CS4103,2013-04-14,89,0
205,CS2881,2012-09-24,54,0
206,CS1854,2011-09-29,74,0
207,CS2863,2012-12-23,102,0
208,CS5292,2013-09-04,64,1
209,CS3184,2012-01-07,88,0
210,CS2049,2013-10-07,66,0
211,CS2832,2013-07-16,105,0
212,CS2251,2013-04-12,99,0
213,CS5667,2014-02-25,66,0
214,CS1327,2012-02-19,38,0
215,CS4927,2013-08-12,37,0
216,CS2302,2012-09-09,100,0
217,CS3901,2012-09-11,82,0
218,CS5762,2013-04-21,85,0
219,CS2289,2012-03-13,89,0
220,CS2867,2012-02-09,56,1
221,CS2359,2014-08-10,87,1
222,CS5814,2011-12-12,72,1
223,CS5129,2011-06-21,102,0
224,CS2597,2012-06-03,42,0
225,CS5838,2012-09-01,96,0
226,CS5800,2012-04-23,86,0
227,CS3786,2013-07-16,66,0
228,CS3659,2012-05-19,77,0
229,CS4400,2011-09-03,97,0
230,CS3026,2012-06-03,55,0
231,CS3632,2013-02-10,72,0
232,CS1452,2012-03-23,79,0
233,CS5140,2014-07-11,97,0
234,CS5383,2013-12-29,73,0
235,CS4695,2013-09-17,48,0
236,CS2368,2012-08-10,66,0
237,CS2066,2011-07-15,51,0
238,CS5277,2011-07-12,90,1
239,CS3025,2011-12-30,72,1
240,CS4802,2011-06-25,45,0
241,CS6001,2014-02-16,63,0
242,CS3981,2014-09-20,74,0
243,CS3885,2014-04-29,56,0
244,CS5546,2012-08-28,79,0
245,CS4964,2014-05-20,79,0
246,CS4881,2014-01-21,55,0
247,CS4103,2014-03-02,40,0
248,CS5884,2012-12-19,97,0
249,CS2765,2013-04-18,88,0
250,CS4438,2014-07-05,72,1
251,CS2234,2014-12-21,36,0
252,CS3015,2014-01-30,58,0
253,CS3755,2015-01-01,45,0
254,CS3927,2014-03-25,77,1
255,CS5799,2012-11-08,101,0
256,CS5708,2011-06-03,89,0
257,CS3695,2013-04-20,51,0
258,CS1969,2014-10-23,39,0
259,CS3854,2014-11-09,104,1
260,CS3416,2015-02-23,57,0
261,CS1414,2013-12-01,104,0
262,CS4732,2013-03-27,96,0
263,CS2493,2012-12-29,85,0
264,CS5851,2013-01-19,98,0
265,CS1678,2014-05-09,48,0
266,CS2049,2013-03-19,36,0
267,CS3676,2011-09-27,43,0
268,CS4853,2012-03-27,68,0
269,CS4292,2014-03-04,98,0
270,CS3152,2014-12-15,40,0
271,CS5640,2014-01-13,77,0
272,CS5857,2012-09-26,85,0
273,CS1472,2014-04-12,72,0
274,CS3888,2012-02-22,70,0
275,CS5563,2013-06-23,70,0
276,CS5104,2012-09-17,99,0
277,CS6109,2013-11-01,92,0
278,CS2352,2014-10-06,62,1
279,CS4024,2014-02-01,39,0
280,CS1499,2011-12-24,91,0
281,CS3071,2012-09-15,39,0
282,CS5638,2014-12-16,58,0
283,CS5533,2013-05-16,73,0
284,CS1961,2012-03-29,75,0
285,CS1707,2011-09-15,105,0
286,CS3692,2014-09-17,48,0
287,CS1275,2011-12-28,102,0
288,CS4738,2013-03-20,37,0
289,CS3732,2011-06-12,83,1
290,CS5676,2013-12-16,44,0
291,CS4111,2012-07-26,54,0
292,CS2074,2015-01-05,79,0
293,CS5815,2015-01-03,92,0
294,CS5094,2015-03-07,84,0
295,CS5431,2013-01-05,55,0
296,CS4540,2014-08-13,55,1
297,CS1891,2013-03-25,84,0
298,CS4389,2013-03-22,70,1
299,CS4412,2012-01-07,47,0
300,CS1697,2014-07-13,98,0
301,CS2720,2012-04-11,72,0
302,CS1152,2012-08-04,71,0
303,CS3796,2013-09-14,37,0
304,CS6066,2013-08-23,66,0
305,CS2643,2014-07-20,69,0
306,CS6056,2014-03-22,104,0
307,CS3489,2013-01-09,76,0
308,CS5229,2011-11-23,58,0
309,CS4649,2014-12-16,93,0
310,CS4372,2014-08-27,71,0
311,CS1790,2012-10-04,100,0
312,CS1475,2012-08-20,73,0
313,CS2452,2014-04-05,77,0
314,CS2781,2011-06-02,51,0
315,CS5260,2014-09-25,89,1
316,CS5155,2011-12-25,100,0
317,CS1582,2014-05-24,46,1
318,CS4757,2011-08-19,81,0
319,CS6039,2013-10-05,104,0
320,CS1580,2012-11-18,87,1
321,CS3815,2011-07-05,54,0
322,CS6063,2013-04-13,104,0
323,CS2226,2014-10-29,104,0
324,CS5367,2015-01-08,77,1
325,CS4581,2013-06-04,95,0
326,CS5004,2014-12-21,59,0
327,CS2164,2013-08-06,35,0
328,CS4590,2014-05-31,79,0
329,CS4600,2011-10-03,50,0
330,CS2122,2012-02-20,90,0
331,CS3060,2012-08-24,59,0
332,CS2217,2013-04-19,85,0
333,CS4288,2014-04-21,68,0
334,CS1568,2013-05-10,104,0
335,CS3442,2014-09-16,39,0
336,CS4883,2013-12-24,39,0
337,CS4911,2012-02-17,75,0
338,CS1533,2012-07-25,86,0
339,CS3103,2014-05-07,59,0
340,CS2185,2012-01-29,46,0
341,CS4094,2013-07-24,100,0
342,CS4354,2012-12-29,62,1
343,CS1939,2012-07-25,46,0
344,CS5516,2012-12-04,75,0
345,CS5664,2013-11-02,95,0
346,CS5068,2014-11-07,41,0
347,CS4376,2014-10-13,49,0
348,CS5825,2011-10-22,61,0
349,CS1871,2012-01-16,64,0
350,CS5046,2015-02-06,86,1
351,CS1259,2013-06-30,64,1
352,CS5664,2011-09-11,58,0
353,CS2986,2011-07-20,67,0
354,CS5510,2013-09-02,99,0
355,CS2845,2013-01-10,73,0
356,CS4077,2012-07-22,90,0
357,CS3466,2013-11-04,71,0
358,CS1508,2013-10-25,101,0
359,CS2469,2014-07-19,93,0
360,CS2767,2015-01-03,105,0
361,CS5790,2012-03-17,58,0
362,CS1710,2013-06-10,100,0
363,CS2554,2011-10-05,100,0
364,CS5283,2015-02-05,63,0
365,CS4050,2014-08-30,63,0
366,CS5975,2012-09-08,77,0
367,CS4227,2012-10-16,74,0
368,CS5983,2011-05-20,47,0
369,CS2490,2013-12-04,70,0
370,CS1696,2012-12-25,51,1
371,CS3209,2014-02-25,82,0
372,CS2942,2013-01-08,62,0
373,CS4981,2011-10-16,93,0
374,CS1397,2014-03-26,77,0
375,CS1903,2013-04-15,92,0
376,CS3754,2013-11-30,77,0
377,CS4763,2011-12-12,78,0
378,CS4413,2015-01-17,38,0
379,CS2333,2011-08-13,99,0
380,CS2798,2012-05-30,100,0
381,CS5033,2011-12-13,96,0
382,CS1420,2014-09-09,99,1
383,CS5132,2011-09-14,74,0
384,CS3058,2012-09-03,74,0
385,CS3692,2013-09-22,42,0
386,CS2463,2012-09-29,55,0
387,CS5209,2011-11-11,35,0
388,CS4581,2013-11-16,53,0
389,CS3424,2013-12-02,85,0
390,CS3207,2013-06-27,86,1
391,CS5763,2013-01-23,56,0
392,CS5772,2012-01-18,97,0
393,CS3673,2013-04-29,85,0
394,CS2887,2012-03-02,100,0
395,CS1596,2011-08-28,66,0
396,CS4299,2012-06-17,37,0
397,CS1492,2014-02-06,82,0
398,CS2313,2014-04-10,40,0
399,CS5385,2014-04-25,83,0
400,CS3441,2013-11-03,43,0
401,CS4701,2014-07-26,53,0
402,CS1746,2013-06-21,103,1
403,CS3276,2013-07-27,65,0
404,CS2555,2012-05-20,50,0
405,CS2569,2014-04-29,37,0
406,CS3426,2014-05-01,67,0
407,CS3052,2013-11-17,67,1
408,CS1993,2013-08-08,68,0
409,CS4908,2014-09-27,78,0
410,CS3021,2014-02-10,43,0
411,CS4424,2013-05-16,82,0
412,CS4841,2013-05-23,74,0
413,CS3486,2012-11-19,75,0
414,CS2218,2011-10-11,78,0
415,CS4779,2012-04-29,53,1
416,CS4226,2013-04-19,100,0
417,CS1653,2011-08-30,53,1
418,CS2533,2012-03-30,99,0
419,CS2905,2012-07-29,47,0
420,CS5169,2013-01-25,64,0
421,CS5142,2012-11-25,64,0
422,CS4390,2014-07-02,43,0
423,CS5668,2014-02-27,91,0
424,CS2896,2013-01-14,71,0
425,CS5156,2013-10-02,58,0
426,CS4200,2012-08-12,67,0
427,CS4391,2014-09-07,67,1
428,CS5408,2013-07-22,78,0
429,CS6019,2013-10-25,84,1
430,CS3981,2012-07-25,40,0
431,CS5925,2013-06-20,66,0
432,CS3964,2013-11-14,105,0
433,CS4688,2013-05-20,101,0
434,CS1343,2012-06-02,57,0
435,CS6024,2012-10-14,45,0
436,CS2816,2011-12-18,84,0
437,CS2434,2012-05-20,41,1
438,CS6018,2012-05-18,96,0
439,CS2072,2012-07-07,63,0
440,CS2897,2013-12-03,83,0
441,CS1680,2013-10-14,81,0
442,CS1638,2013-08-05,84,0
443,CS1165,2012-04-12,101,0
444,CS4593,2012-01-04,84,0
445,CS3414,2011-11-13,46,0
446,CS2252,2013-02-28,58,0
447,CS3598,2013-07-30,54,0
448,CS3642,2014-05-19,62,1
449,CS5948,2014-07-10,71,0
450,CS5582,2014-05-23,96,0
451,CS6107,2011-07-23,70,0
452,CS5201,2011-07-02,79,0
453,CS1639,2013-05-05,51,0
454,CS5884,2012-11-20,52,0
455,CS3515,2014-07-07,81,0
456,CS2332,2013-08-29,66,0
457,CS5628,2014-12-16,94,0
458,CS4830,2012-04-13,78,0
459,CS1673,2012-01-04,92,0
460,CS4993,2011-06-01,86,0
461,CS2603,2013-07-01,58,1
462,CS1800,2013-11-20,72,0
463,CS3911,2012-06-09,83,0
464,CS5465,2011-12-05,77,0
465,CS2373,2012-03-29,105,0
466,CS1241,2013-03-06,104,0
467,CS4244,2013-02-15,48,0
468,CS5233,2013-06-05,73,0
469,CS5405,2013-12-04,87,0
470,CS4115,2011-11-30,73,1
471,CS4283,2011-12-23,76,0
472,CS4420,2014-05-28,93,0
473,CS4779,2013-05-08,41,1
474,CS2567,2011-07-15,93,0
475,CS3629,2014-09-30,68,0
476,CS2026,2013-08-25,66,1
477,CS4338,2013-07-05,58,0
478,CS4142,2012-05-20,100,0
479,CS2837,2012-11-10,88,0
480,CS1625,2013-11-05,104,0
481,CS4873,2012-11-20,83,0
482,CS3376,2012-08-28,39,0
483,CS4311,2012-02-27,35,1
484,CS1396,2012-09-25,86,0
485,CS3779,2014-01-29,92,0
486,CS1997,2012-10-09,87,0
487,CS4540,2012-05-17,72,1
488,CS5299,2012-12-22,90,0
489,CS2253,2012-11-21,99,0
490,CS6066,2014-03-17,102,0
491,CS6077,2012-11-22,44,0
492,CS3300,2014-12-28,86,0
493,CS5922,2012-03-31,95,1
494,CS6009,2014-03-13,39,1
495,CS5064,2013-02-19,97,0
496,CS2399,2014-04-21,77,0
497,CS5547,2012-09-27,73,1
498,CS5114,2012-09-23,96,0
499,CS3908,2011-11-10,83,1
500,CS4194,2013-04-24,92,0
501,CS5342,2012-10-15,82,0
502,CS5425,2012-08-04,90,0
503,CS1991,2014-09-29,94,0
504,CS2693,2013-08-27,61,0
505,CS5076,2015-01-31,63,1
506,CS3177,2011-06-08,87,0
507,CS2809,2012-06-02,60,1
508,CS3864,2013-12-06,56,0
509,CS2515,2011-12-11,51,1
510,CS4487,2011-08-25,100,0
511,CS3108,2011-08-20,87,0
512,CS1133,2014-07-28,91,0
513,CS5919,2012-03-04,97,0
514,CS6067,2012-09-04,44,0
515,CS4893,2013-10-24,66,0
516,CS5750,2014-03-25,48,0
517,CS1445,2011-11-13,88,0
518,CS1710,2011-10-26,52,0
519,CS1927,2013-12-23,97,0
520,CS5719,2011-07-10,40,1
521,CS2591,2014-01-29,69,0
522,CS2416,2013-02-13,59,0
523,CS1347,2013-02-10,74,0
524,CS3073,2015-02-13,95,0
525,CS3590,2013-10-23,104,0
526,CS4099,2014-05-29,67,0
527,CS4109,2012-08-21,40,0
528,CS6072,2011-12-20,82,0
529,CS3266,2012-11-17,51,0
530,CS1433,2014-12-22,72,0
531,CS5499,2011-06-23,59,0
532,CS1533,2012-07-20,85,0
533,CS5405,2012-04-21,91,0
534,CS4971,2013-05-28,83,0
535,CS5461,2012-02-06,47,1
536,CS6088,2013-01-27,82,0
537,CS1984,2012-09-04,53,0
538,CS1184,2013-01-05,102,0
539,CS4346,2012-12-09,65,0
540,CS5245,2014-10-29,104,0
541,CS5402,2011-11-03,84,0
542,CS2765,2011-08-29,61,0
543,CS5785,2013-06-20,63,0
544,CS5767,2013-05-29,82,0
545,CS2753,2012-06-17,63,0
546,CS2252,2012-09-04,68,0
547,CS5488,2012-06-28,53,0
548,CS5354,2014-09-23,83,0
549,CS1470,2012-02-11,95,0
550,CS1155,2011-10-16,75,0
551,CS5565,2014-06-04,36,0
552,CS6073,2015-02-07,104,0
553,CS2817,2014-06-11,43,0
554,CS3210,2011-10-29,57,0
555,CS4688,2012-10-16,59,0
556,CS4663,2013-02-24,95,0
557,CS4539,2012-07-28,35,1
558,CS2580,2012-07-09,42,0
559,CS3983,2012-10-15,103,0
560,CS2771,2012-07-02,67,0
561,CS3635,2015-02-03,38,0
562,CS1415,2012-01-21,73,0
563,CS2294,2015-03-04,94,0
564,CS1405,2013-09-18,43,0
565,CS1582,2014-01-16,85,1
566,CS2886,2013-11-09,38,0
567,CS2770,2014-11-07,80,0
568,CS1140,2014-12-28,61,0
569,CS2333,2014-01-25,93,0
570,CS4752,2013-04-20,95,0
571,CS5687,2011-07-26,89,0
572,CS4895,2014-01-11,80,0
573,CS2786,2011-11-28,66,0
574,CS1927,2012-05-24,63,0
575,CS4327,2014-09-26,36,0
576,CS1624,2013-03-30,68,0
577,CS5490,2014-08-19,36,0
578,CS4395,2012-02-26,66,0
579,CS3174,2013-01-25,61,0
580,CS2011,2013-06-06,85,0
581,CS5553,2015-01-07,98,0
582,CS3775,2012-02-23,92,0
583,CS2885,2012-11-08,55,0
584,CS1206,2014-08-11,90,0
585,CS4480,2012-05-23,60,0
586,CS1488,2015-02-12,65,0
587,CS1456,2013-02-08,95,0
588,CS4681,2014-02-03,96,0
589,CS3170,2012-10-16,85,0
590,CS1906,2014-05-18,60,0
591,CS5774,2015-02-28,78,0
592,CS6063,2011-09-29,77,0
593,CS2223,2014-01-17,41,0
594,CS1848,2011-09-27,48,0
595,CS2366,2014-04-08,39,0
596,CS5335,2014-01-13,45,0
597,CS2899,2012-10-12,55,1
598,CS4219,2013-12-06,59,0
599,CS5690,2015-01-19,82,0
600,CS3410,2014-09-06,97,0
601,CS1337,2014-07-24,103,0
602,CS4954,2012-11-02,82,0
603,CS4400,2011-08-23,67,0
604,CS3652,2015-02-07,64,0
605,CS5677,2013-02-28,93,0
606,CS4992,2012-10-21,83,0
607,CS3569,2014-08-17,61,0
608,CS2442,2014-04-30,59,0
609,CS4160,2012-05-15,66,0
610,CS5996,2011-11-18,69,0
611,CS2345,2011-06-14,60,0
612,CS2246,2011-08-10,44,0
613,CS2928,2013-07-16,67,0
614,CS1740,2014-09-28,102,1
615,CS2298,2011-09-12,105,1
616,CS5283,2012-12-01,63,0
617,CS6084,2013-08-15,64,0
618,CS3237,2013-01-22,40,0
619,CS4913,2014-07-22,53,0
620,CS2104,2014-10-25,81,0
621,CS4645,2013-12-02,104,0
622,CS1128,2014-04-23,105,0
623,CS4639,2012-07-27,39,0
624,CS4310,2011-09-13,83,0
625,CS3182,2013-01-18,48,0
626,CS3347,2012-07-23,38,1
627,CS4231,2015-02-23,89,0
628,CS4171,2014-10-31,53,0
629,CS3137,2013-08-03,92,0
630,CS1249,2012-05-23,55,0
631,CS3455,2011-10-03,98,0
632,CS1235,2012-05-30,56,1
633,CS4454,2013-08-27,57,0
634,CS3180,2014-03-09,65,1
635,CS2930,2014-01-16,94,0
636,CS3838,2012-03-23,82,0
637,CS1883,2014-10-12,57,0
638,CS5148,2012-11-19,72,0
639,CS4952,2011-11-21,54,1
640,CS5724,2011-11-04,85,0
641,CS1447,2012-03-19,104,0
642,CS1693,2012-01-28,59,0
643,CS4341,2014-03-17,87,0
644,CS3598,2012-08-08,72,0
645,CS5659,2012-08-02,100,0
646,CS5367,2014-12-01,41,1
647,CS1501,2013-02-27,65,0
648,CS2134,2014-07-15,77,0
649,CS3407,2014-09-17,62,0
650,CS3343,2014-04-03,56,0
651,CS3506,2013-03-12,103,0
652,CS2244,2013-05-05,86,1
653,CS1243,2012-12-04,70,0
654,CS3061,2013-12-02,89,0
655,CS4884,2015-02-10,78,0
656,CS1590,2014-04-09,39,0
657,CS3176,2014-07-28,50,0
658,CS5638,2014-11-12,68,0
659,CS2122,2012-10-21,83,0
660,CS2177,2015-01-30,93,1
661,CS3074,2011-05-27,61,0
662,CS3433,2012-12-20,99,0
663,CS3418,2013-03-02,87,0
664,CS5821,2012-06-23,70,0
665,CS2231,2015-01-08,74,0
666,CS5356,2014-04-01,91,1
667,CS5803,2014-11-28,96,0
668,CS5611,2014-12-29,65,0
669,CS5012,2011-12-31,85,0
670,CS4967,2013-04-07,98,0
671,CS2522,2014-10-06,85,0
672,CS2328,2015-02-20,43,0
673,CS3530,2013-05-13,88,1
674,CS5034,2014-06-01,39,0
675,CS5784,2011-11-21,75,0
676,CS3581,2011-08-17,93,0
677,CS3011,2014-12-14,83,0
678,CS4152,2013-02-12,41,0
679,CS5757,2014-02-08,56,0
680,CS5557,2012-01-23,82,0
681,CS3988,2012-04-17,51,0
682,CS3396,2011-12-25,87,0
683,CS4393,2015-02-10,54,0
684,CS4629,2012-12-21,35,0
685,CS3821,2013-07-03,73,0
686,CS3460,2011-09-19,77,0
687,CS4948,2013-02-18,84,0
688,CS3786,2011-10-17,71,0
689,CS5468,2012-06-08,50,0
690,CS1545,2014-09-16,55,0
691,CS4960,2014-02-16,77,0
692,CS3555,2013-08-05,103,0
693,CS4587,2012-10-31,104,0
694,CS1228,2011-09-27,57,0
695,CS5126,2012-12-22,49,0
696,CS1453,2014-03-23,45,0
697,CS5938,2012-11-20,61,0
698,CS3135,2012-07-31,49,0
699,CS4444,2013-03-29,102,0
700,CS5348,2014-12-06,64,0
701,CS1416,2012-11-27,100,0
702,CS5400,2014-05-07,75,0
703,CS2313,2012-12-23,59,0
704,CS5187,2012-01-28,42,0
705,CS3426,2013-04-02,87,0
706,CS2309,2011-05-31,60,0
707,CS4564,2013-03-29,94,0
708,CS3291,2012-12-30,93,0
709,CS2607,2013-02-19,50,0
710,CS1882,2014-09-23,104,0
711,CS2248,2011-08-17,100,0
712,CS4082,2015-02-15,49,0
713,CS3181,2014-04-27,62,0
714,CS2462,2012-02-25,88,0
715,CS2336,2013-09-22,86,0
716,CS3235,2012-07-02,43,0
717,CS2748,2012-01-11,55,1
718,CS3668,2012-08-25,86,0
719,CS1296,2014-01-14,61,0
720,CS5356,2012-10-12,57,1
721,CS4079,2012-08-21,68,0
722,CS4864,2014-01-06,73,0
723,CS2860,2013-05-24,74,0
724,CS4851,2013-04-23,94,0
725,CS5761,2015-01-28,102,0
726,CS6082,2012-03-02,48,0
727,CS3702,2011-05-22,45,1
728,CS1512,2013-04-01,54,0
729,CS4569,2014-07-03,76,0
730,CS2419,2014-07-06,95,0
731,CS3942,2013-05-21,64,1
732,CS4604,2012-04-07,38,1
733,CS6056,2013-02-21,98,0
734,CS2592,2013-09-08,73,0
735,CS5152,2014-03-30,53,0
736,CS4282,2011-06-13,46,0
737,CS4509,2012-08-21,93,0
738,CS2252,2014-09-23,95,0
739,CS3367,2013-08-27,98,0
740,CS4980,2012-01-25,64,0
741,CS3128,2011-09-03,91,0
742,CS3331,2013-06-30,99,0
743,CS4166,2012-12-31,104,0
744,CS5063,2012-06-20,56,0
745,CS5971,2014-01-15,94,0
746,CS5060,2013-10-02,38,0
747,CS5810,2013-04-30,48,0
748,CS2860,2011-08-01,78,0
749,CS4490,2014-09-12,37,0
750,CS5976,2012-07-22,47,0
751,CS4775,2012-07-30,86,0
752,CS4174,2012-11-20,51,0
753,CS5211,2015-01-13,85,0
754,CS3450,2012-10-26,80,0
755,CS3945,2012-11-17,80,0
756,CS2524,2012-04-12,55,0
757,CS3379,2014-10-07,101,0
758,CS4349,2012-02-05,87,0
759,CS2776,2012-11-01,70,0
760,CS1839,2013-11-13,77,1
761,CS1322,2013-11-25,84,0
762,CS3593,2012-05-25,81,0
763,CS1981,2011-05-21,71,0
764,CS4054,2011-08-16,99,0
765,CS4533,2015-01-21,53,1
766,CS2896,2011-12-29,80,0
767,CS5616,2013-10-12,37,0
768,CS3791,2014-07-03,49,0
769,CS1951,2011-05-29,73,0
770,CS2473,2013-06-16,81,0
771,CS5894,2013-08-17,68,0
772,CS1633,2012-12-19,62,0
773,CS1977,2013-07-01,38,0
774,CS6011,2014-02-21,55,0
